checkpoint,checkpoint_path,quality,yaw_bin,windows,action_mse_mean,action_l2_error_mean,target_action_l2_mean,pred_action_l2_mean,action_rate_l2_mean
yawboost_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_0/final_policy_extraction.pt,expert,"[0,0.175)",479,1.3225400732394643e-05,0.0034617420775905285,0.3025883473533678,0.301891904285407,0.0036408105449039405
yawboost_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_0/final_policy_extraction.pt,expert,"[0.175,0.35)",365,1.870580057434942e-05,0.003941683634503247,0.33772313496837875,0.33696394881157027,0.012029421329498292
yawboost_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_0/final_policy_extraction.pt,expert,"[0.35,0.525)",341,2.7078514952141564e-05,0.004385203734870531,0.3458258245697469,0.3450689973020134,0.02063605739923516
yawboost_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_0/final_policy_extraction.pt,expert,"[0.525,inf)",441,6.811083489796674e-05,0.005576204212885055,0.3487458348003915,0.3479088796239321,0.0395740955865302
yawboost_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_0/final_policy_extraction.pt,expert_noisy,"[0,0.175)",129,0.002490783846655557,0.049471045649328894,0.3115612887596899,0.3074494295342024,0.06987823072329973
yawboost_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_0/final_policy_extraction.pt,expert_noisy,"[0.175,0.35)",77,0.002513572960704952,0.0496862708748161,0.32964907064066307,0.32612374541047334,0.07476287073903269
yawboost_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_0/final_policy_extraction.pt,expert_noisy,"[0.35,0.525)",76,0.0024919927512344563,0.04944374686793277,0.3294248580932617,0.3260150708650288,0.08320167190150211
yawboost_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_0/final_policy_extraction.pt,expert_noisy,"[0.525,inf)",92,0.002455471002537271,0.049065045688463295,0.3415055274963379,0.3393628908240277,0.09179853356402853
yawboost_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_1/final_policy_extraction.pt,expert,"[0,0.175)",479,1.0876311730527336e-05,0.003124580844956798,0.3025883473533678,0.3024184639120401,0.0036408105449039405
yawboost_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_yawboost_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_yawboost_policy0k/seed_1/final_policy_extraction.pt,expert,"[0.175,0.35)",365,1.7328654042738555e-05,0.0037519449852917294,0.33772313496837875,0.33743050196399427,0.012029421329498292
